,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2927.0,405.0,2410.0,0.8784513805522209,0.5484354506276935,0.675279732379744,0.855115243925433,0.6283063689045288,0.700220839515502
1,adverse reactions,discontinuous,33.0,,355.0,,0.08505154639175258,,,0.10330101271277742,
2,adverse reactions,exact-meddra,2578.0,,1585.0,,0.6192649531587797,,,0.7060269940113199,
3,adverse reactions,negated,11.0,,21.0,,0.34375,,,0.376984126984127,
4,adverse reactions,non-meddra,349.0,,826.0,,0.2970212765957447,,,0.39282144580260997,
5,all-concat,all,2199.0,382.0,4839.0,0.8519953506392871,0.3124467178175618,0.4572200852479468,0.8109540385114186,0.41036261276833974,0.5007231664020506
6,all-concat,discontinuous,30.0,,712.0,,0.04043126684636118,,,0.08014149574785925,
7,all-concat,exact-meddra,1906.0,,2921.0,,0.3948622332711829,,,0.49792613915465145,
8,all-concat,negated,17.0,,42.0,,0.288135593220339,,,0.3333333333333333,
9,all-concat,non-meddra,293.0,,1919.0,,0.13245931283905968,,,0.2190965616527287,
10,boxed warnings,all,147.0,129.0,115.0,0.532608695652174,0.5610687022900763,0.5464684014869888,0.55126363144939,0.6908289215371258,0.5682217399864459
11,boxed warnings,discontinuous,3.0,,30.0,,0.09090909090909091,,,0.14935064935064934,
12,boxed warnings,exact-meddra,101.0,,35.0,,0.7426470588235294,,,0.776058943885769,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,46.0,,80.0,,0.36507936507936506,,,0.48968253968253966,
15,warnings and precautions,all,875.0,604.0,1577.0,0.5916159567275185,0.3568515497553018,0.44517934367845335,0.5541539601070355,0.42866138545789384,0.43217786448388046
16,warnings and precautions,discontinuous,43.0,,307.0,,0.12285714285714286,,,0.16094877344877345,
17,warnings and precautions,exact-meddra,613.0,,600.0,,0.505358615004122,,,0.6026478859021093,
18,warnings and precautions,negated,9.0,,18.0,,0.3333333333333333,,,0.37745098039215685,
19,warnings and precautions,non-meddra,262.0,,978.0,,0.21129032258064517,,,0.27002918960826244,
0,all,all,3949.0,1138.0,4102.0,0.7762925103204246,0.4904980747733201,0.5748651692995079,0.680878885532423,0.5563160875728131,0.5682373554956629
